Model Name,Input Size,imagenet-original,imagenet-real,imagenetv2-matched-frequency,sketch,imagenet-a,imagenet-a-clean,imagenet-r,imagenet-r-clean,url
mobilenetv3_rw.rmsp_in1k,224,75.614,82.277,63.32,22.632,4.813,91.32,35.633,91.55,https://huggingface.co/timm/mobilenetv3_rw.rmsp_in1k
mobilenetv3_small_050.lamb_in1k,224,57.924,64.705,44.8,11.004,1.773,76.98,21.793,78.09,https://huggingface.co/timm/mobilenetv3_small_050.lamb_in1k
mobilenetv3_small_075.lamb_in1k,224,65.266,72.321,51.87,14.993,2.227,83.11,26.59,84.14,https://huggingface.co/timm/mobilenetv3_small_075.lamb_in1k
mobilenetv3_small_100.lamb_in1k,224,67.638,74.879,54.61,16.85,1.933,85.19,29.067,86.2,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k
mobilenetv4_conv_aa_large.e230_r384_in12k_ft_in1k,384,84.314,88.917,74.02,40.386,40.133,96.87,53.43,96.31,https://huggingface.co/timm/mobilenetv4_conv_aa_large.e230_r384_in12k_ft_in1k
mobilenetv4_conv_aa_large.e230_r384_in12k_ft_in1k,480,84.78,89.346,74.4,39.999,46.72,97.18,52.943,96.53,https://huggingface.co/timm/mobilenetv4_conv_aa_large.e230_r384_in12k_ft_in1k
mobilenetv4_conv_aa_large.e230_r448_in12k_ft_in1k,448,84.668,89.024,74.23,39.59,44.88,97.01,52.677,96.31,https://huggingface.co/timm/mobilenetv4_conv_aa_large.e230_r448_in12k_ft_in1k
mobilenetv4_conv_aa_large.e230_r448_in12k_ft_in1k,544,84.99,89.288,74.68,39.042,49.853,97.17,52.23,96.68,https://huggingface.co/timm/mobilenetv4_conv_aa_large.e230_r448_in12k_ft_in1k
mobilenetv4_conv_aa_large.e600_r384_in1k,384,83.264,88.153,72.48,35.935,31.253,96.15,49.39,95.71,https://huggingface.co/timm/mobilenetv4_conv_aa_large.e600_r384_in1k
mobilenetv4_conv_aa_large.e600_r384_in1k,480,83.832,88.682,73.2,34.589,38.893,96.46,48.88,96.03,https://huggingface.co/timm/mobilenetv4_conv_aa_large.e600_r384_in1k
mobilenetv4_conv_blur_medium.e500_r224_in1k,224,79.446,85.832,68.29,32.63,12.227,94.29,45.15,93.86,https://huggingface.co/timm/mobilenetv4_conv_blur_medium.e500_r224_in1k
mobilenetv4_conv_blur_medium.e500_r224_in1k,256,80.152,86.489,69.13,32.604,15.44,94.87,45.387,94.13,https://huggingface.co/timm/mobilenetv4_conv_blur_medium.e500_r224_in1k
mobilenetv4_conv_large.e500_r256_in1k,256,81.864,87.153,71.0,34.53,19.92,95.09,47.537,94.4,https://huggingface.co/timm/mobilenetv4_conv_large.e500_r256_in1k
mobilenetv4_conv_large.e500_r256_in1k,320,82.674,88.01,71.93,34.054,26.587,95.89,47.333,95.16,https://huggingface.co/timm/mobilenetv4_conv_large.e500_r256_in1k
mobilenetv4_conv_large.e600_r384_in1k,384,82.974,88.054,72.4,36.13,29.147,95.8,49.673,95.39,https://huggingface.co/timm/mobilenetv4_conv_large.e600_r384_in1k
mobilenetv4_conv_large.e600_r384_in1k,448,83.418,88.494,72.99,35.955,34.333,96.24,49.747,95.68,https://huggingface.co/timm/mobilenetv4_conv_large.e600_r384_in1k
mobilenetv4_conv_medium.e500_r224_in1k,224,79.092,85.496,67.33,31.838,11.067,94.21,44.9,93.67,https://huggingface.co/timm/mobilenetv4_conv_medium.e500_r224_in1k
mobilenetv4_conv_medium.e500_r224_in1k,256,79.838,86.41,68.77,31.828,13.373,94.76,45.09,94.09,https://huggingface.co/timm/mobilenetv4_conv_medium.e500_r224_in1k
mobilenetv4_conv_medium.e500_r256_in1k,256,79.922,86.323,69.0,32.59,13.6,94.3,45.233,93.85,https://huggingface.co/timm/mobilenetv4_conv_medium.e500_r256_in1k
mobilenetv4_conv_medium.e500_r256_in1k,320,80.88,87.264,70.01,31.863,19.48,95.0,45.07,94.36,https://huggingface.co/timm/mobilenetv4_conv_medium.e500_r256_in1k
mobilenetv4_conv_small.e1200_r224_in1k,224,73.436,80.543,60.62,22.553,3.72,89.92,34.313,90.13,https://huggingface.co/timm/mobilenetv4_conv_small.e1200_r224_in1k
mobilenetv4_conv_small.e1200_r224_in1k,256,74.29,81.431,61.63,22.96,4.24,90.64,34.737,90.26,https://huggingface.co/timm/mobilenetv4_conv_small.e1200_r224_in1k
mobilenetv4_conv_small.e2400_r224_in1k,224,73.73,80.799,60.9,23.925,3.653,90.07,35.013,90.54,https://huggingface.co/timm/mobilenetv4_conv_small.e2400_r224_in1k
mobilenetv4_conv_small.e2400_r224_in1k,256,74.644,81.668,61.87,24.255,4.693,91.02,35.183,91.1,https://huggingface.co/timm/mobilenetv4_conv_small.e2400_r224_in1k
