Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,DONE
TBD,TBD,hrnet_w18_small_v2.ms_in1k,224,75.098,,896.0,11276.117700128452,79.46742424369748,21.50671908998049,True
TBD,TBD,hrnet_w18_ssld.paddle_in1k,224,81.132,,416.0,6042.603709652785,68.8466075289855,41.05286931565392,True
TBD,TBD,hrnet_w18_ssld.paddle_in1k,288,82.048,,320.0,3722.4721861168514,85.96653858558558,65.83967126044706,True
TBD,TBD,hrnet_w30.ms_in1k,224,78.214,,448.0,5163.114353415943,86.77297286363635,48.212204637777994,True
TBD,TBD,hrnet_w32.ms_in1k,224,78.456,,416.0,5462.630053058132,76.15633204000001,45.53340519889096,True
TBD,TBD,hrnet_w40.ms_in1k,224,78.924,,320.0,3343.609994071352,95.70748706060606,74.03153413406912,True
TBD,TBD,hrnet_w44.ms_in1k,224,78.882,,352.0,3021.1517154781955,116.51947032098765,82.11418655912738,True
TBD,TBD,hrnet_w48.ms_in1k,224,79.324,,336.0,3165.1722570532665,106.15963623333332,78.55509476202646,True
TBD,TBD,hrnet_w48_ssld.paddle_in1k,224,83.678,,256.0,3149.664573571012,81.28200631623932,78.20040190163198,True
TBD,TBD,hrnet_w48_ssld.paddle_in1k,288,84.484,,160.0,1911.639718562701,83.70154394690265,130.25724167271403,True
TBD,TBD,hrnet_w64.ms_in1k,224,79.458,,256.0,2523.826215318467,101.43601068817205,96.36514093698923,True
TBD,TBD,inception_next_base.sail_in1k,224,84.098,,128.0,2082.470732344348,61.46762127272727,119.839559834689,True
TBD,TBD,inception_next_base.sail_in1k_384,384,85.2,,44.0,717.5174129340564,61.324906129032264,348.21246125121553,True
TBD,TBD,inception_next_small.sail_in1k,224,83.584,,176.0,2873.057807580004,61.26078112903226,86.87270884970674,True
TBD,TBD,inception_next_tiny.sail_in1k,224,82.508,,272.0,4846.058598905644,56.134029136094675,51.47171161861077,True
TBD,TBD,inception_resnet_v2.tf_ens_adv_in1k,299,79.992,,352.0,4896.947128808235,71.88391050757575,50.8530085645644,True
TBD,TBD,inception_resnet_v2.tf_in1k,299,80.446,,384.0,4867.331182543176,78.89719866666667,51.08349668723655,True
TBD,TBD,inception_v3.gluon_in1k,299,78.804,,576.0,10328.754564380864,55.77182111764706,24.1025889170676,True
TBD,TBD,inception_v3.tf_adv_in1k,299,77.596,,640.0,10370.726311653065,61.73406401298701,24.105319303162542,True
TBD,TBD,inception_v3.tf_in1k,299,77.866,,576.0,10292.537738907453,55.9672764556213,24.203514880457245,True
TBD,TBD,inception_v3.tv_in1k,299,77.474,,640.0,10327.72698863196,61.973184555555555,24.1771858422067,True
TBD,TBD,inception_v4.tf_in1k,299,80.144,,320.0,5381.928319621185,59.4608150625,46.22648459714297,True
TBD,TBD,lambda_resnet26rpt_256.c1_in1k,256,78.954,,160.0,125.06597327777928,1279.3248014545454,606.1409861495114,True
TBD,TBD,lambda_resnet26t.c1_in1k,256,79.126,,256.0,115.4642553169892,2217.140502090909,661.4496686019852,True
TBD,TBD,lambda_resnet50ts.a1h_in1k,256,81.186,,152.0,39.77428918661535,3821.5780584545455,1864.5626597641326,True
TBD,TBD,lamhalobotnet50ts_256.a1h_in1k,256,81.548,,208.0,37.20307966362849,5590.936521181818,2022.1878346450308,True
TBD,TBD,lcnet_050.ra2_in1k,224,63.13,,1344.0,77430.44851953154,17.36514854296161,3.2110332158229684,True
TBD,TBD,lcnet_075.ra2_in1k,224,68.784,,960.0,50543.545989568665,18.994675778,4.931446661983188,True
TBD,TBD,lcnet_100.ra2_in1k,224,72.128,,640.0,40124.53231865829,15.955430870805369,6.204705675241716,True
TBD,TBD,levit_128.fb_dist_in1k,224,78.486,,1408.0,20621.127219773447,68.28134123021583,12.07893891641468,True
TBD,TBD,levit_128s.fb_dist_in1k,224,76.522,,2048.0,30831.92198903856,66.4281073076923,8.061540322923577,True
TBD,TBD,levit_192.fb_dist_in1k,224,79.85,,1024.0,18855.4845844356,54.309817571428574,13.230494422872544,True
TBD,TBD,levit_256.fb_dist_in1k,224,81.506,,640.0,14488.9765699176,44.1740639627907,17.240865066144476,True
TBD,TBD,levit_384.fb_dist_in1k,224,82.598,,640.0,9196.08216738742,69.59735086029411,27.026417835619604,True
TBD,TBD,levit_conv_128.fb_dist_in1k,224,78.488,,1280.0,17757.570697002702,72.08428159541985,14.001184511841542,True
TBD,TBD,levit_conv_128s.fb_dist_in1k,224,76.534,,1536.0,27777.21543036677,55.29947752631578,8.94290389658462,True
TBD,TBD,levit_conv_192.fb_dist_in1k,224,79.86,,896.0,17595.257461777965,50.924750941176484,13.983682482041932,True
TBD,TBD,levit_conv_256.fb_dist_in1k,224,81.506,,704.0,13549.295561041055,51.95973469398907,18.351606396386146,True
